example_id,true_label,predicted_label,positive_probability,original_token_length,oov_rate,has_negation,text,manual_group,manual_explanation,reviewed_by
yelp:test:29330,0,1,0.9999963045120239,23,0.0,False,"Wow love the place and everything is very clean and new!\n\nGreat place to come and relax worth a try!\n\nCheers,\n\nEric Van Nguyen\nVisited April 2012",,,
yelp:test:22807,1,0,2.324377783224918e-05,60,0.0,True,"EDIT: They really did change the service up since I last posted this.\n\nHorrible service.\n\nUsed to be my favorite pizza in the city (at a reasonable price), but I'm rethinking that. We just had an altercation with a server who refused to split a check when we were paying with cash. He then proceeded to disrespect the party at the table, telling us to 'not give him attitude about it.'\n\nSorry Bella Notte, but we're not children. I don't care if you're working hard - it doesn't give you any excuse to disrespect your paying customers like that.",,,
yelp:test:10845,1,0,4.28340608777944e-05,13,0.0,True,I am really pissed they don't have the fresh baked pecan chocolate chip cookies anymore...... someone needs to be shot for this.,,,
yelp:test:22663,0,1,0.9999204874038696,117,0.0,True,"About average so far as steakhouses go. My rib eye was very tasty but a little over cooked. I didn't complain because the flavor was still fantastic. I thought the process were quite out of order. I've had better for sell. Over all I'd say they are more for show than content. If you want to have a great high end steak I'd recommend Ruth Chris, LG's, Flemings, or Morton's. If you want to show off how much money you have to or make it rain, Jean Georges is the place. The offered a pork chop for $99 and a special cut steak for $199.  For those prices I'll personally fly anywhere in the country and serve you the best steak you ever had. If you were not born with a silver spoon in your mouth and you have good financial values, you should probably go somewhere else. If your friends are named Justin B, Diddy, or snoop, and your second car just happens to be a Bentley, You'll fit right in. Service good, Ambiance great, Food Fantastic, Service A+, Bottom line, Oh Damn! Bring the Platinum or the Black Card.",,,
yelp:test:17407,0,1,0.999884843826294,453,0.019867549668874173,True,"This was my second time dining at Company. And unfortunately, it will probably be the last. Maybe that's not fair. I'll explain.\n\nI first dined at Company back in June. My party of six was seated by a waiter and looked after very attentively by three support servers clad all black pants, collared shirts and aprons. I felt a little under-dressed. The menu was upscale comfort food. My friend Katie gave me part of her delicious lobster BLT. My friend Colton gave me two spoonfuls of deliciously creamy mashed potatoes and the best creamed spinach I have ever had. I had the special that night, which was the jambalaya. It was fantastic. And there was so much of it, I couldn't even finish it all. Overall, I had a great experience and vowed to return.\n\nOver Thanksgiving weekend, I found out that a friend and I  would be staying at the Luxor for the Criss Angel show Believe (see that review before you go). I quickly made reservations for Company. I couldn't wait to show off this place that I \""""knew\"""". And I wore a jacket and nice shoes this time too. \n\nThe restaurant looked exactly the same as it did in June. Only now the waiters were clad in black t-shirts that had the word \""""Company\"""" silkscreened across them. The very friendly waiter asked if I had dined here before. I proudly told him \""""Yes. Last June.\"""" To which he said \""""Oh. So you were here before our concept change.\"""" Concept change? Uh boy. He continued his rotely memorized patter \""""What our concept is now is that we take classic Western dishes and we combine them with Eastern ingredients to deliver small tasting plates with great variety.\"""" My heart and stomach sank. \""""So this is like an East/West tapas menu? Right?\"""" To which he said \""""I'm glad you said that. That's a very good way of describing it.\"""" I checked in with my friend. It wasn't a deal breaker for him. So we soldiered on.\n\nThe menu is divided into four sections: Sea, Sky, Land and Earth. We both ordered an item from each category.\n\nSEA: Seared Tuna w/ lemon, olive oil, wasabi greens - There was so little of this dish, I barely remember it.\nLumb Crab Gratin w/shitake mushroom, bacon, leek and cotija cheese- This was really good. I'd like another portion of this. And to top it off, it was served in the same cast iron gratin dish that they used to serve the creamed spinach in. WHERE ARE YOU CREAMED SPINACH?\n\nSKY: Organic Duck Confit Potstickers- They were okay. I've never understood why you would hide duck confit in a potsticker that you are going to dip in a sauce.\nChicken Breast w/mushroom ragout- The Eleanor Rigby  of this menu\n\nLAND: SoHo Kobe Beef Slider- Very good. But their current prevalence on so many gastropub menus didn't make me feel like it was anything terribly special. \nFilet of Beef w/brandy cream and melted leek- Good. Not really sure what a melted leek is though, either before or after I ate it.\n\nEARTH: Gruyere Cheese Puffs w/chive creme fraiche and lobster oil- On the dry side. This was the one dish that remained the longest on the table due to neither of us fighting over it.\nChili Garlic Asparagus- Really good. Strands of baby asparagus. Glad it came out with the steak too.\n\nOverall, it was good food. After finishing all of the entrees, the waiter asked if we were still hungry. I answered with a qualified YES. He offered to bring the menu back. But I was thinking more about walking across the street to the Dan Marino Steakhouse at Hooters. Now THERE'S fine dining ;-). I capped off the meal with a dessert of Earl Grey chocolate cake with almond ice cream. SOOOOOO TINY. \n\nI guess I'd go to Company again. But I'd only bring a certain group of people with me. Their concept change has radically changed my concept of dining there. Good place for foodies to knock off a bunch of plates. Bad place for someone who hasn't eaten since the Chick-Fil-A four hours away in Upland, California.",,,
yelp:test:9706,0,1,0.9998629093170166,164,0.006097560975609756,True,"This hotel was very beautiful, and if you are use to being pampered and have a bit of money to throw around then this is totally the place for you!\n\nMy room was beautiful and spacious, as was my bathroom.  The staff around the hotel were also wonderful and helpful.\n\nI did find it a little annoying that despite the lovely decor and all, I didn't have a fridge in my room!  I mean, there was a mini bar (which had everything hooked up to pressure sensors that would automatically charge my room if I even picked up anything), but no place to put anything I brought in myself.  I ended up filling one of my bathroom sinks with ice and keeping my drinks in there for the week.  Not the classiest thing but it worked!\n\nAlso, it is a serious hike to get anywhere in this super confusing hotel, and even more confusing if you ever try to leave it!  It took me and a friend over an hour and directions from 3 different employees to finally get outside the damn place!  I work in a shop and am pretty used to being on my feet and walking most of the day, but this place made that seem like nothing!  Even a few days after being home my feet are still hurting (and no, I wasn't tromping around Vegas in heals, I was wearing sneakers.  I don't even own a pair of heels!)\n\nI would definitely stay here again if someone else was paying the bill.  Next time I'm in Vegas for fun, I think I will try to find something a bit more... casual...",,,
yelp:test:4655,0,1,0.9998595714569092,34,0.0,False,"good: it's cheap, loud, every now and then a good band will play, good drink selection.\n\nbad: the parking and the crowd.\n\nit's fun to watch the young kids marvel in this new bar they've just discovered and is totally the coolest place, like, ever.  funny stuff.",,,
yelp:test:15892,1,0,0.00015193389845080674,96,0.0,True,"Play here, but don't stay here.\n\nI love the environment.  Very lively with the loud music, girls dancing on the stage everywhere and the 24 hour Starbucks and Earl of Sandwiches.  It's THE place to gamble for younger people or mainly guys.  Play and eat all night.\n\nIt's not the best place to stay.  The location is convenient, it's right in middle of the strip, but the room is creepy with the movie memorabilia stuff.  For example, I had some suits in plastic display cases, not something you want to be with in a room.  It's also just way too noisy.  When I'm at the hotel I'm staying, I'm most likely getting started or tired and just can't stand the loud music.  The shower had someone else's hair stuck on the wall and also the bed sucked.\n\nLike I said, play here, but don't stay here.",,,
yelp:test:9938,0,1,0.9998396635055542,113,0.0,True,"If all you need is a place to lay your head, and maybe some friend's too, then you can't beat it for the price and location.  But yes, you get what you pay for!  \n\n  So a classic room here is about $20 a night on weekdays and $90 on the weekends. Just remember the cool extra frills are not included.  Honestly I'd give it an extra star if it just had free wifi.  \n  \n  The room itself was adequate, but the drains in the shower and the sink backed up.  Maybe in a nicer place it wouldn't be so gross, but there's something about standing in that shower water that just feels a little bit dirtier.  Like many other hotels on the strip there is a light hike involved to get from the parking garage to the front desk.  Keep that in mind if you brought a lot of luggage.  Otherwise, it's a perfect place to make \""""base camp.\""""\n\n  Have I stayed in nicer places?  Most definitely.  Would I stay here again, probably. ;)",,,
yelp:test:30793,1,0,0.00018075901607517153,64,0.0,True,"This place is so much better since they changed owners.\n\nMy wife and I went when it was the old owners, it was terrible.  We waited forever and the food never came before we walked out.  People were served before us that walked in after and my wife actually got her soup before me and I sat and waited while they \""""made more\"""".\n\nIt was horrible.\n\nNow its much better.  The staff are very friendly, they treat their customers very well and I have nothing but positive things to now say about this place.  Its much better with the new owners.",,,
