example_id,true_label,predicted_label,positive_probability,original_token_length,oov_rate,has_negation,text,review_group,error_type,testable_fix,student_reviewed,checkpoint_sha256
yelp:test:29330,0,1,0.9999574422836304,23,0.0,False,"Wow love the place and everything is very clean and new!\n\nGreat place to come and relax worth a try!\n\nCheers,\n\nEric Van Nguyen\nVisited April 2012",confident_false_positive,,,False,013aa085d21b988169e37951027b280966e5dd550aa7769752e5daf657d0ed8a
yelp:test:5752,0,1,0.9998878240585328,260,0.0115384615384615,True,"NOTE:  This was a 4-star review, but the food quality and ESPECIALLY customer service have gone down the tubes.  See update below.\nComplaining I can't find a good meatball sub in Phoenix, I was referred to Santisi Brothers.  I was told that the meatballs are still made by the brothers' mother, so I was intrigued. \nSantisi Brothers did not disappoint.  That sub was so freaking good!!!  I got the 1/2 sandwich, which included two meatballs smothered under mozzarella and marinara on a toasted baguette-type roll.  Amazing.  The bread was soft inside with just the right crust, the meatballs were sizable (that's what she said!), and they did not scrimp on the mozzarella.  Since this is their only location in the valley, we will be sure to be back.  (It's right off I-17, close to the 101, so that's not hard.)\nIf you like sports, go!  This place has each wall covered in TVs - huge to 13\"""", they don't spare a bit of viewing area.  The only reason I gave 4 stars instead of 5 is because the seating leaves a bit to be desired.  We sat at a hightop table with stools.  Next are a row of tables with nicer chairs (with backs), and the row closest to the TVs - who wants to sit there?  Music - we could hear each other, but agreed a table of four might have to shout.  Our server, Ariel, was very enjoyable, nice, and attentive.\nBig beer and bar selection.  Husband's Kiltlifter was in a huge beer mug and he was happy to see a few IPAs.  I had a John Daly that was verrry tasty.  It's one of those sneaky super-yummy drinks...  Sweet iced tea, lemonade, and vodka - I'll be stealing that recipe this summer!\nHusband had the turkey club, which was large enough to be funny to watch him eat, but he said it was unremarkable.  Side of fries were also really, really good.  Perfect amount of potato, crispiness, and salt.  We also had garlic knots, which are served with marinara and pretty tasty, but left me wishing there was a little ball of mozzarella in the middle.  House salads were... house salads.  Nothing special there.\nTo review: great for sports (I'm sure they can spare a TV for your game), may want to go early for good seats, good bar, and some great food.  EAT/DRINK:  Meatball sub, french fries, and a John Daly.  All wonderful.\nPS - Kitchen is open till 11pm Sun-Thu, midnight Fri-Sat.",confident_false_positive,,,False,013aa085d21b988169e37951027b280966e5dd550aa7769752e5daf657d0ed8a
yelp:test:17407,0,1,0.9997220635414124,453,0.0198675496688741,True,"This was my second time dining at Company. And unfortunately, it will probably be the last. Maybe that's not fair. I'll explain.\n\nI first dined at Company back in June. My party of six was seated by a waiter and looked after very attentively by three support servers clad all black pants, collared shirts and aprons. I felt a little under-dressed. The menu was upscale comfort food. My friend Katie gave me part of her delicious lobster BLT. My friend Colton gave me two spoonfuls of deliciously creamy mashed potatoes and the best creamed spinach I have ever had. I had the special that night, which was the jambalaya. It was fantastic. And there was so much of it, I couldn't even finish it all. Overall, I had a great experience and vowed to return.\n\nOver Thanksgiving weekend, I found out that a friend and I  would be staying at the Luxor for the Criss Angel show Believe (see that review before you go). I quickly made reservations for Company. I couldn't wait to show off this place that I \""""knew\"""". And I wore a jacket and nice shoes this time too. \n\nThe restaurant looked exactly the same as it did in June. Only now the waiters were clad in black t-shirts that had the word \""""Company\"""" silkscreened across them. The very friendly waiter asked if I had dined here before. I proudly told him \""""Yes. Last June.\"""" To which he said \""""Oh. So you were here before our concept change.\"""" Concept change? Uh boy. He continued his rotely memorized patter \""""What our concept is now is that we take classic Western dishes and we combine them with Eastern ingredients to deliver small tasting plates with great variety.\"""" My heart and stomach sank. \""""So this is like an East/West tapas menu? Right?\"""" To which he said \""""I'm glad you said that. That's a very good way of describing it.\"""" I checked in with my friend. It wasn't a deal breaker for him. So we soldiered on.\n\nThe menu is divided into four sections: Sea, Sky, Land and Earth. We both ordered an item from each category.\n\nSEA: Seared Tuna w/ lemon, olive oil, wasabi greens - There was so little of this dish, I barely remember it.\nLumb Crab Gratin w/shitake mushroom, bacon, leek and cotija cheese- This was really good. I'd like another portion of this. And to top it off, it was served in the same cast iron gratin dish that they used to serve the creamed spinach in. WHERE ARE YOU CREAMED SPINACH?\n\nSKY: Organic Duck Confit Potstickers- They were okay. I've never understood why you would hide duck confit in a potsticker that you are going to dip in a sauce.\nChicken Breast w/mushroom ragout- The Eleanor Rigby  of this menu\n\nLAND: SoHo Kobe Beef Slider- Very good. But their current prevalence on so many gastropub menus didn't make me feel like it was anything terribly special. \nFilet of Beef w/brandy cream and melted leek- Good. Not really sure what a melted leek is though, either before or after I ate it.\n\nEARTH: Gruyere Cheese Puffs w/chive creme fraiche and lobster oil- On the dry side. This was the one dish that remained the longest on the table due to neither of us fighting over it.\nChili Garlic Asparagus- Really good. Strands of baby asparagus. Glad it came out with the steak too.\n\nOverall, it was good food. After finishing all of the entrees, the waiter asked if we were still hungry. I answered with a qualified YES. He offered to bring the menu back. But I was thinking more about walking across the street to the Dan Marino Steakhouse at Hooters. Now THERE'S fine dining ;-). I capped off the meal with a dessert of Earl Grey chocolate cake with almond ice cream. SOOOOOO TINY. \n\nI guess I'd go to Company again. But I'd only bring a certain group of people with me. Their concept change has radically changed my concept of dining there. Good place for foodies to knock off a bunch of plates. Bad place for someone who hasn't eaten since the Chick-Fil-A four hours away in Upland, California.",confident_false_positive,,,False,013aa085d21b988169e37951027b280966e5dd550aa7769752e5daf657d0ed8a
yelp:test:4143,0,1,0.9994309544563292,84,0.0238095238095238,True,**Review only on the Horchatta***\n\nCame here drunk one night during our spring break vacation. It was kind of hard to find since our GPS lead us to an apartment complex. We finally managed to find it after we got out of the apartment complex...it's literally in front of that and next to a gas station. \n\nWe went to the Drive-Tru and I ordered the small Horchatta and my girlfriend got the 2 enchiladas. She did say they were good but they FORGOT to put forks and spoons into her bag so she had to eat it with her hands and use the sauce container cover to scoop up the sauce.\n\nMy horchata was cheap and delicious...very refreshing and cinnamony. It was a little to sweet for my liking so I couldn't finish it all but it was still pretty good.,confident_false_positive,,,False,013aa085d21b988169e37951027b280966e5dd550aa7769752e5daf657d0ed8a
yelp:test:4488,0,1,0.9984095692634584,75,0.0,True,"It's good. The rolls are better than the sashimi although one time we had some really nice(and surprising) maguro. We always get the hamachi jalape\u00f1o roll and some sashimi so don't get me wrong when I say the rolls are better than the sashimi. It's still enjoyable. Good atmosphere and my girl likes the martinis. Little Tokyo in Mt. Lebanon and Kiku in Station Square are better. Nakama is good for some enjoyable sushi and, more importantly, the atmosphere.  You can go here and watch the pens game AND eat a roll.  Can't say that about a lot of sushi restaurants.\n\n4.5 of 10 relative to sushi quality alone",confident_false_positive,,,False,013aa085d21b988169e37951027b280966e5dd550aa7769752e5daf657d0ed8a
yelp:test:22807,1,0,4.0161579818231985e-05,60,0.0,True,"EDIT: They really did change the service up since I last posted this.\n\nHorrible service.\n\nUsed to be my favorite pizza in the city (at a reasonable price), but I'm rethinking that. We just had an altercation with a server who refused to split a check when we were paying with cash. He then proceeded to disrespect the party at the table, telling us to 'not give him attitude about it.'\n\nSorry Bella Notte, but we're not children. I don't care if you're working hard - it doesn't give you any excuse to disrespect your paying customers like that.",confident_false_negative,,,False,013aa085d21b988169e37951027b280966e5dd550aa7769752e5daf657d0ed8a
yelp:test:30793,1,0,0.0001564448612043,64,0.0,True,"This place is so much better since they changed owners.\n\nMy wife and I went when it was the old owners, it was terrible.  We waited forever and the food never came before we walked out.  People were served before us that walked in after and my wife actually got her soup before me and I sat and waited while they \""""made more\"""".\n\nIt was horrible.\n\nNow its much better.  The staff are very friendly, they treat their customers very well and I have nothing but positive things to now say about this place.  Its much better with the new owners.",confident_false_negative,,,False,013aa085d21b988169e37951027b280966e5dd550aa7769752e5daf657d0ed8a
yelp:test:21215,1,0,0.0001991502795135,100,0.0,True,"Last night several parents came in with over 15 children to celebrate their 9 year olds 4th grade graduation at 9:15 pm. The bartender expressed that it was not a place to have children running around as it is against the law and a liability issue if anything were to happen to them on their premise. The children were running in and out of the bar while the parents continued to drink upstairs claiming to watch them in the open park way. After their third round of drinks the bartender told them they were no longer welcomed due to the fact the kids were unsupervised as well as the other customers had cleared out expressing \""""whether the bar was a childcare center\"""". One father even started swearing at her telling her it was none of her business what their children were doing. I am offended in that they completely took advantage of her, were rude, not to mention had their children with them at a bar at 10:00pm in the evening. I will say the bartender was very cordial and had mind to do the right thing.",confident_false_negative,,,False,013aa085d21b988169e37951027b280966e5dd550aa7769752e5daf657d0ed8a
yelp:test:25329,1,0,0.0002170242078136,115,0.008695652173913,True,"Im with Kimberly B...this is a card for people rebuilding credit.  Mine got tanked due to a divorce.  I have been rebuilding, and started with a $300 limit, and it is now at $1250.  I do not carry a balance, ever.  If you need to carry a balance, then you haven't learned your lesson that got us all to this type of a card in the first place.  It you are a day late, you haven't learned your lesson either. A day late is a  day late. You can sign up to get reminders to pay a week in advance.  Also, it is NOT A HIDDEN $75 fee.  It isn't hidden!  It's clearly disclosed, along with the $8.95 monthly fee.  People who place blame where it doesn't belong aren't going to take responsibility for getting their credit back in order.  Get over it.  It's a card to rebuild credit...you are going to pay for the privlege of doing so.  I will probably keep it awhile longer, as length of time you have an account open adds to your score too.  Educate yourselves people. Stop blaming the company for being a business and take your finances into your own hands.",confident_false_negative,,,False,013aa085d21b988169e37951027b280966e5dd550aa7769752e5daf657d0ed8a
yelp:test:29494,1,0,0.0002616509154904,202,0.0148514851485148,True,"UPDATED. \n\nMy initial very frustrated and dramatic review read as follows:\n\nBililng practices are at best negligent and at worst fraudulent.  \n\nI started going to the studio per a groupon.  I enjoyed the experience so much that I purchased a discounted 20 pack of classes.  When I purchased the classes, my credit card was charged.  However, the purchase didn't show up in my online account so I couldn't schedule classes.  I called The Studio and they told me that they'd credited the classes to another student but they did remedy the situation. \n\nFast forward about 6 months and I am reviewing my credit card statement.  Lo and behold a mysterious charge from the Studio shows up for $130.  I have not even been back there in months and certainly have not authorized any transactions to this business.  I am now disputing the charge via my credit card. \n\nThe yoga is great but all these terrible billing practices make it not worth your time in the long run.\n\nUpdates:\n\nAfter reading this, the studio owner went out of her way to contact me to try and correct the error.  She contacted me several times over a month and offered to resolve the issue in minutes if I called her.  I couldn't manage to find time to call her, but she refused to give up and tracked down my information and resolved the situation in a way that goes above and beyond what can be expected from a business owner.  I can certainly say that although I was frustrated by the two billing mixups, this business went out of its way to accomodate and help me, even when I couldn't go out of my way to try and correct the error.  I am thus updating my review to 4 stars- not quite 5 due to the initial errors- but they certainly get 5 for the way they managed this.  \n\nAlso, as previously mentioned, the yoga is great.",confident_false_negative,,,False,013aa085d21b988169e37951027b280966e5dd550aa7769752e5daf657d0ed8a
