example_id,true_label,predicted_label,positive_probability,original_token_length,oov_rate,has_negation,text,manual_group,manual_explanation,reviewed_by
yelp:test:29330,0,1,0.9999157190322876,23,0.0,False,"Wow love the place and everything is very clean and new!\n\nGreat place to come and relax worth a try!\n\nCheers,\n\nEric Van Nguyen\nVisited April 2012",,,
yelp:test:10845,1,0,9.803142893360928e-05,13,0.0,True,I am really pissed they don't have the fresh baked pecan chocolate chip cookies anymore...... someone needs to be shot for this.,,,
yelp:test:22807,1,0,0.0002301908825756982,60,0.0,True,"EDIT: They really did change the service up since I last posted this.\n\nHorrible service.\n\nUsed to be my favorite pizza in the city (at a reasonable price), but I'm rethinking that. We just had an altercation with a server who refused to split a check when we were paying with cash. He then proceeded to disrespect the party at the table, telling us to 'not give him attitude about it.'\n\nSorry Bella Notte, but we're not children. I don't care if you're working hard - it doesn't give you any excuse to disrespect your paying customers like that.",,,
yelp:test:5752,0,1,0.9995163679122925,260,0.011538461538461539,True,"NOTE:  This was a 4-star review, but the food quality and ESPECIALLY customer service have gone down the tubes.  See update below.\nComplaining I can't find a good meatball sub in Phoenix, I was referred to Santisi Brothers.  I was told that the meatballs are still made by the brothers' mother, so I was intrigued. \nSantisi Brothers did not disappoint.  That sub was so freaking good!!!  I got the 1/2 sandwich, which included two meatballs smothered under mozzarella and marinara on a toasted baguette-type roll.  Amazing.  The bread was soft inside with just the right crust, the meatballs were sizable (that's what she said!), and they did not scrimp on the mozzarella.  Since this is their only location in the valley, we will be sure to be back.  (It's right off I-17, close to the 101, so that's not hard.)\nIf you like sports, go!  This place has each wall covered in TVs - huge to 13\"""", they don't spare a bit of viewing area.  The only reason I gave 4 stars instead of 5 is because the seating leaves a bit to be desired.  We sat at a hightop table with stools.  Next are a row of tables with nicer chairs (with backs), and the row closest to the TVs - who wants to sit there?  Music - we could hear each other, but agreed a table of four might have to shout.  Our server, Ariel, was very enjoyable, nice, and attentive.\nBig beer and bar selection.  Husband's Kiltlifter was in a huge beer mug and he was happy to see a few IPAs.  I had a John Daly that was verrry tasty.  It's one of those sneaky super-yummy drinks...  Sweet iced tea, lemonade, and vodka - I'll be stealing that recipe this summer!\nHusband had the turkey club, which was large enough to be funny to watch him eat, but he said it was unremarkable.  Side of fries were also really, really good.  Perfect amount of potato, crispiness, and salt.  We also had garlic knots, which are served with marinara and pretty tasty, but left me wishing there was a little ball of mozzarella in the middle.  House salads were... house salads.  Nothing special there.\nTo review: great for sports (I'm sure they can spare a TV for your game), may want to go early for good seats, good bar, and some great food.  EAT/DRINK:  Meatball sub, french fries, and a John Daly.  All wonderful.\nPS - Kitchen is open till 11pm Sun-Thu, midnight Fri-Sat.",,,
yelp:test:21215,1,0,0.000508903234731406,100,0.0,True,"Last night several parents came in with over 15 children to celebrate their 9 year olds 4th grade graduation at 9:15 pm. The bartender expressed that it was not a place to have children running around as it is against the law and a liability issue if anything were to happen to them on their premise. The children were running in and out of the bar while the parents continued to drink upstairs claiming to watch them in the open park way. After their third round of drinks the bartender told them they were no longer welcomed due to the fact the kids were unsupervised as well as the other customers had cleared out expressing \""""whether the bar was a childcare center\"""". One father even started swearing at her telling her it was none of her business what their children were doing. I am offended in that they completely took advantage of her, were rude, not to mention had their children with them at a bar at 10:00pm in the evening. I will say the bartender was very cordial and had mind to do the right thing.",,,
yelp:test:17407,0,1,0.9993865489959717,453,0.019867549668874173,True,"This was my second time dining at Company. And unfortunately, it will probably be the last. Maybe that's not fair. I'll explain.\n\nI first dined at Company back in June. My party of six was seated by a waiter and looked after very attentively by three support servers clad all black pants, collared shirts and aprons. I felt a little under-dressed. The menu was upscale comfort food. My friend Katie gave me part of her delicious lobster BLT. My friend Colton gave me two spoonfuls of deliciously creamy mashed potatoes and the best creamed spinach I have ever had. I had the special that night, which was the jambalaya. It was fantastic. And there was so much of it, I couldn't even finish it all. Overall, I had a great experience and vowed to return.\n\nOver Thanksgiving weekend, I found out that a friend and I  would be staying at the Luxor for the Criss Angel show Believe (see that review before you go). I quickly made reservations for Company. I couldn't wait to show off this place that I \""""knew\"""". And I wore a jacket and nice shoes this time too. \n\nThe restaurant looked exactly the same as it did in June. Only now the waiters were clad in black t-shirts that had the word \""""Company\"""" silkscreened across them. The very friendly waiter asked if I had dined here before. I proudly told him \""""Yes. Last June.\"""" To which he said \""""Oh. So you were here before our concept change.\"""" Concept change? Uh boy. He continued his rotely memorized patter \""""What our concept is now is that we take classic Western dishes and we combine them with Eastern ingredients to deliver small tasting plates with great variety.\"""" My heart and stomach sank. \""""So this is like an East/West tapas menu? Right?\"""" To which he said \""""I'm glad you said that. That's a very good way of describing it.\"""" I checked in with my friend. It wasn't a deal breaker for him. So we soldiered on.\n\nThe menu is divided into four sections: Sea, Sky, Land and Earth. We both ordered an item from each category.\n\nSEA: Seared Tuna w/ lemon, olive oil, wasabi greens - There was so little of this dish, I barely remember it.\nLumb Crab Gratin w/shitake mushroom, bacon, leek and cotija cheese- This was really good. I'd like another portion of this. And to top it off, it was served in the same cast iron gratin dish that they used to serve the creamed spinach in. WHERE ARE YOU CREAMED SPINACH?\n\nSKY: Organic Duck Confit Potstickers- They were okay. I've never understood why you would hide duck confit in a potsticker that you are going to dip in a sauce.\nChicken Breast w/mushroom ragout- The Eleanor Rigby  of this menu\n\nLAND: SoHo Kobe Beef Slider- Very good. But their current prevalence on so many gastropub menus didn't make me feel like it was anything terribly special. \nFilet of Beef w/brandy cream and melted leek- Good. Not really sure what a melted leek is though, either before or after I ate it.\n\nEARTH: Gruyere Cheese Puffs w/chive creme fraiche and lobster oil- On the dry side. This was the one dish that remained the longest on the table due to neither of us fighting over it.\nChili Garlic Asparagus- Really good. Strands of baby asparagus. Glad it came out with the steak too.\n\nOverall, it was good food. After finishing all of the entrees, the waiter asked if we were still hungry. I answered with a qualified YES. He offered to bring the menu back. But I was thinking more about walking across the street to the Dan Marino Steakhouse at Hooters. Now THERE'S fine dining ;-). I capped off the meal with a dessert of Earl Grey chocolate cake with almond ice cream. SOOOOOO TINY. \n\nI guess I'd go to Company again. But I'd only bring a certain group of people with me. Their concept change has radically changed my concept of dining there. Good place for foodies to knock off a bunch of plates. Bad place for someone who hasn't eaten since the Chick-Fil-A four hours away in Upland, California.",,,
yelp:test:15892,1,0,0.0006583695649169385,96,0.0,True,"Play here, but don't stay here.\n\nI love the environment.  Very lively with the loud music, girls dancing on the stage everywhere and the 24 hour Starbucks and Earl of Sandwiches.  It's THE place to gamble for younger people or mainly guys.  Play and eat all night.\n\nIt's not the best place to stay.  The location is convenient, it's right in middle of the strip, but the room is creepy with the movie memorabilia stuff.  For example, I had some suits in plastic display cases, not something you want to be with in a room.  It's also just way too noisy.  When I'm at the hotel I'm staying, I'm most likely getting started or tired and just can't stand the loud music.  The shower had someone else's hair stuck on the wall and also the bed sucked.\n\nLike I said, play here, but don't stay here.",,,
yelp:test:264,1,0,0.0007858392200432718,28,0.0,True,Says they deliver on here... Wrong & wrong again & should not be checked! I like Applebee's & thought the delivery was something new for the Pittsburgh area... Don't know if this is something Yelp does or something someone checked off... But not cool!,,,
yelp:test:31374,1,0,0.000796862062998116,23,0.0,False,"I\""""m really bummed as I drove by today and like the previous poster in April said, the store front is empty and I called the place and the phone has been disconnected.  Feeling sad another small business gone.",,,
yelp:test:1744,1,0,0.0008450464811176062,26,0.0,True,"Its ok. Its an airport, and a stereotypical one at that. It has long lines and a lot of traffic, expensive chain restaurants, and shops. Nothing special. Customer Service is passable and they do a good job as expected, however it is a typical airport. No muss or fuss.",,,
