example_id,true_label,predicted_label,positive_probability,original_token_length,oov_rate,has_negation,text,manual_group,manual_explanation,reviewed_by
yelp:test:22807,1,0,4.0161579818231985e-05,60,0.0,True,"EDIT: They really did change the service up since I last posted this.\n\nHorrible service.\n\nUsed to be my favorite pizza in the city (at a reasonable price), but I'm rethinking that. We just had an altercation with a server who refused to split a check when we were paying with cash. He then proceeded to disrespect the party at the table, telling us to 'not give him attitude about it.'\n\nSorry Bella Notte, but we're not children. I don't care if you're working hard - it doesn't give you any excuse to disrespect your paying customers like that.",,,
yelp:test:29330,0,1,0.9999574422836304,23,0.0,False,"Wow love the place and everything is very clean and new!\n\nGreat place to come and relax worth a try!\n\nCheers,\n\nEric Van Nguyen\nVisited April 2012",,,
yelp:test:5752,0,1,0.9998878240585327,260,0.011538461538461539,True,"NOTE:  This was a 4-star review, but the food quality and ESPECIALLY customer service have gone down the tubes.  See update below.\nComplaining I can't find a good meatball sub in Phoenix, I was referred to Santisi Brothers.  I was told that the meatballs are still made by the brothers' mother, so I was intrigued. \nSantisi Brothers did not disappoint.  That sub was so freaking good!!!  I got the 1/2 sandwich, which included two meatballs smothered under mozzarella and marinara on a toasted baguette-type roll.  Amazing.  The bread was soft inside with just the right crust, the meatballs were sizable (that's what she said!), and they did not scrimp on the mozzarella.  Since this is their only location in the valley, we will be sure to be back.  (It's right off I-17, close to the 101, so that's not hard.)\nIf you like sports, go!  This place has each wall covered in TVs - huge to 13\"""", they don't spare a bit of viewing area.  The only reason I gave 4 stars instead of 5 is because the seating leaves a bit to be desired.  We sat at a hightop table with stools.  Next are a row of tables with nicer chairs (with backs), and the row closest to the TVs - who wants to sit there?  Music - we could hear each other, but agreed a table of four might have to shout.  Our server, Ariel, was very enjoyable, nice, and attentive.\nBig beer and bar selection.  Husband's Kiltlifter was in a huge beer mug and he was happy to see a few IPAs.  I had a John Daly that was verrry tasty.  It's one of those sneaky super-yummy drinks...  Sweet iced tea, lemonade, and vodka - I'll be stealing that recipe this summer!\nHusband had the turkey club, which was large enough to be funny to watch him eat, but he said it was unremarkable.  Side of fries were also really, really good.  Perfect amount of potato, crispiness, and salt.  We also had garlic knots, which are served with marinara and pretty tasty, but left me wishing there was a little ball of mozzarella in the middle.  House salads were... house salads.  Nothing special there.\nTo review: great for sports (I'm sure they can spare a TV for your game), may want to go early for good seats, good bar, and some great food.  EAT/DRINK:  Meatball sub, french fries, and a John Daly.  All wonderful.\nPS - Kitchen is open till 11pm Sun-Thu, midnight Fri-Sat.",,,
yelp:test:30793,1,0,0.0001564448612043634,64,0.0,True,"This place is so much better since they changed owners.\n\nMy wife and I went when it was the old owners, it was terrible.  We waited forever and the food never came before we walked out.  People were served before us that walked in after and my wife actually got her soup before me and I sat and waited while they \""""made more\"""".\n\nIt was horrible.\n\nNow its much better.  The staff are very friendly, they treat their customers very well and I have nothing but positive things to now say about this place.  Its much better with the new owners.",,,
yelp:test:21215,1,0,0.00019915027951356024,100,0.0,True,"Last night several parents came in with over 15 children to celebrate their 9 year olds 4th grade graduation at 9:15 pm. The bartender expressed that it was not a place to have children running around as it is against the law and a liability issue if anything were to happen to them on their premise. The children were running in and out of the bar while the parents continued to drink upstairs claiming to watch them in the open park way. After their third round of drinks the bartender told them they were no longer welcomed due to the fact the kids were unsupervised as well as the other customers had cleared out expressing \""""whether the bar was a childcare center\"""". One father even started swearing at her telling her it was none of her business what their children were doing. I am offended in that they completely took advantage of her, were rude, not to mention had their children with them at a bar at 10:00pm in the evening. I will say the bartender was very cordial and had mind to do the right thing.",,,
yelp:test:25329,1,0,0.00021702420781366527,115,0.008695652173913044,True,"Im with Kimberly B...this is a card for people rebuilding credit.  Mine got tanked due to a divorce.  I have been rebuilding, and started with a $300 limit, and it is now at $1250.  I do not carry a balance, ever.  If you need to carry a balance, then you haven't learned your lesson that got us all to this type of a card in the first place.  It you are a day late, you haven't learned your lesson either. A day late is a  day late. You can sign up to get reminders to pay a week in advance.  Also, it is NOT A HIDDEN $75 fee.  It isn't hidden!  It's clearly disclosed, along with the $8.95 monthly fee.  People who place blame where it doesn't belong aren't going to take responsibility for getting their credit back in order.  Get over it.  It's a card to rebuild credit...you are going to pay for the privlege of doing so.  I will probably keep it awhile longer, as length of time you have an account open adds to your score too.  Educate yourselves people. Stop blaming the company for being a business and take your finances into your own hands.",,,
yelp:test:29494,1,0,0.0002616509154904634,202,0.01485148514851485,True,"UPDATED. \n\nMy initial very frustrated and dramatic review read as follows:\n\nBililng practices are at best negligent and at worst fraudulent.  \n\nI started going to the studio per a groupon.  I enjoyed the experience so much that I purchased a discounted 20 pack of classes.  When I purchased the classes, my credit card was charged.  However, the purchase didn't show up in my online account so I couldn't schedule classes.  I called The Studio and they told me that they'd credited the classes to another student but they did remedy the situation. \n\nFast forward about 6 months and I am reviewing my credit card statement.  Lo and behold a mysterious charge from the Studio shows up for $130.  I have not even been back there in months and certainly have not authorized any transactions to this business.  I am now disputing the charge via my credit card. \n\nThe yoga is great but all these terrible billing practices make it not worth your time in the long run.\n\nUpdates:\n\nAfter reading this, the studio owner went out of her way to contact me to try and correct the error.  She contacted me several times over a month and offered to resolve the issue in minutes if I called her.  I couldn't manage to find time to call her, but she refused to give up and tracked down my information and resolved the situation in a way that goes above and beyond what can be expected from a business owner.  I can certainly say that although I was frustrated by the two billing mixups, this business went out of its way to accomodate and help me, even when I couldn't go out of my way to try and correct the error.  I am thus updating my review to 4 stars- not quite 5 due to the initial errors- but they certainly get 5 for the way they managed this.  \n\nAlso, as previously mentioned, the yoga is great.",,,
yelp:test:17407,0,1,0.9997220635414124,453,0.019867549668874173,True,"This was my second time dining at Company. And unfortunately, it will probably be the last. Maybe that's not fair. I'll explain.\n\nI first dined at Company back in June. My party of six was seated by a waiter and looked after very attentively by three support servers clad all black pants, collared shirts and aprons. I felt a little under-dressed. The menu was upscale comfort food. My friend Katie gave me part of her delicious lobster BLT. My friend Colton gave me two spoonfuls of deliciously creamy mashed potatoes and the best creamed spinach I have ever had. I had the special that night, which was the jambalaya. It was fantastic. And there was so much of it, I couldn't even finish it all. Overall, I had a great experience and vowed to return.\n\nOver Thanksgiving weekend, I found out that a friend and I  would be staying at the Luxor for the Criss Angel show Believe (see that review before you go). I quickly made reservations for Company. I couldn't wait to show off this place that I \""""knew\"""". And I wore a jacket and nice shoes this time too. \n\nThe restaurant looked exactly the same as it did in June. Only now the waiters were clad in black t-shirts that had the word \""""Company\"""" silkscreened across them. The very friendly waiter asked if I had dined here before. I proudly told him \""""Yes. Last June.\"""" To which he said \""""Oh. So you were here before our concept change.\"""" Concept change? Uh boy. He continued his rotely memorized patter \""""What our concept is now is that we take classic Western dishes and we combine them with Eastern ingredients to deliver small tasting plates with great variety.\"""" My heart and stomach sank. \""""So this is like an East/West tapas menu? Right?\"""" To which he said \""""I'm glad you said that. That's a very good way of describing it.\"""" I checked in with my friend. It wasn't a deal breaker for him. So we soldiered on.\n\nThe menu is divided into four sections: Sea, Sky, Land and Earth. We both ordered an item from each category.\n\nSEA: Seared Tuna w/ lemon, olive oil, wasabi greens - There was so little of this dish, I barely remember it.\nLumb Crab Gratin w/shitake mushroom, bacon, leek and cotija cheese- This was really good. I'd like another portion of this. And to top it off, it was served in the same cast iron gratin dish that they used to serve the creamed spinach in. WHERE ARE YOU CREAMED SPINACH?\n\nSKY: Organic Duck Confit Potstickers- They were okay. I've never understood why you would hide duck confit in a potsticker that you are going to dip in a sauce.\nChicken Breast w/mushroom ragout- The Eleanor Rigby  of this menu\n\nLAND: SoHo Kobe Beef Slider- Very good. But their current prevalence on so many gastropub menus didn't make me feel like it was anything terribly special. \nFilet of Beef w/brandy cream and melted leek- Good. Not really sure what a melted leek is though, either before or after I ate it.\n\nEARTH: Gruyere Cheese Puffs w/chive creme fraiche and lobster oil- On the dry side. This was the one dish that remained the longest on the table due to neither of us fighting over it.\nChili Garlic Asparagus- Really good. Strands of baby asparagus. Glad it came out with the steak too.\n\nOverall, it was good food. After finishing all of the entrees, the waiter asked if we were still hungry. I answered with a qualified YES. He offered to bring the menu back. But I was thinking more about walking across the street to the Dan Marino Steakhouse at Hooters. Now THERE'S fine dining ;-). I capped off the meal with a dessert of Earl Grey chocolate cake with almond ice cream. SOOOOOO TINY. \n\nI guess I'd go to Company again. But I'd only bring a certain group of people with me. Their concept change has radically changed my concept of dining there. Good place for foodies to knock off a bunch of plates. Bad place for someone who hasn't eaten since the Chick-Fil-A four hours away in Upland, California.",,,
yelp:test:1238,1,0,0.00039160516462288797,158,0.05063291139240506,True,"This is more of appreciation than an actual review.\nAs a former long time Az state employee health care was extremely frustrating. Now in retirement my medicare supplement is not an improvement. Same carrier, different plan. To find a provider, conservatively speaking, is close to impossible, due to the extremely low provider payments and the fact that the provider listings, year after year are a sad joke.Call ten places from the directory and most are not contracted or wrong address or have not been provider for years. A heart specialist was listed as under water specialist? For my needed cataract surgery I spent dozens of hours on the phone with\ncarrier who promises to call back and never does.\nVery nice and courteous and caring completely inept\npeople. After a month I gave up on my carrier and spoke to a number of offices unrelated to cataracts.\nAs usual Hatfield Family Medicine (Concentra)\nwas more than nice and caring. I left their office\nhaving an appointment at Barnet, Dulaney, Perkins\nwho are highly competent but one of possibly two firms who will accept my carrier's measly payment.\nHatfield continued to work on what they had no need to do in the first place and mailed me info on another doctor they believe will accept my plan.\nIn a few days I will finally be seen after three months of wasted time. I have to think it is generosity on the part of Barnet, Dulaney Perkins.\nA review will follow.",,,
yelp:test:16700,1,0,0.0004397565789986402,59,0.0,True,"TERRIBLE SERVICE, RUDE WAITERS WITH A PISS POOR ATTITUDE! WOULD EAT HERE AGAIN! A++++\n\nThe food here is good but isn't that spectacular, the beer selection is somewhat disappointing if you like a good craft beer. Ask for a craft beer and get an insulting comment from the waitress. \n\nWhat makes this place awesome is the atmosphere, live bands, sports on the TVs, the very obnoxious staff and the hats. Got to love the free hats. \n\nIf you go, ask for a glass of water with your meal. ;)",,,
yelp:test:30366,1,0,0.00046136591117829084,95,0.0,True,"We have eaten at the restaurant several times as we enjoy the food and last night brought friends (another couple) as it was one of their birthdays.  In the afternoon called and spoke with a hostess to tell her would like \""""happy birthday\"""" written on the plate on whatever dessert was ordered.  When we arrived at the restaurant ran in ahead and mentioned it to the hostess (different than the one spoke with on the phone).  When we did in fact order dessert there was no acknowledgement of a birthday with either a candle or writing on the plate.  It was a very slow evening so no excuse about being busy but just that the messages were not relayed to the waiter (who was very good by the way and not his fault).  This was disappointing as we wanted to finish off the evening with that surprise.  Called the manager this morning who apologized but absolutely no offer of a gift card for a dessert that could make this up to my friend.  That was not good business.",,,
yelp:test:4143,0,1,0.9994309544563293,84,0.023809523809523808,True,**Review only on the Horchatta***\n\nCame here drunk one night during our spring break vacation. It was kind of hard to find since our GPS lead us to an apartment complex. We finally managed to find it after we got out of the apartment complex...it's literally in front of that and next to a gas station. \n\nWe went to the Drive-Tru and I ordered the small Horchatta and my girlfriend got the 2 enchiladas. She did say they were good but they FORGOT to put forks and spoons into her bag so she had to eat it with her hands and use the sauce container cover to scoop up the sauce.\n\nMy horchata was cheap and delicious...very refreshing and cinnamony. It was a little to sweet for my liking so I couldn't finish it all but it was still pretty good.,,,
yelp:test:31374,1,0,0.0006606407114304602,23,0.0,False,"I\""""m really bummed as I drove by today and like the previous poster in April said, the store front is empty and I called the place and the phone has been disconnected.  Feeling sad another small business gone.",,,
yelp:test:2047,1,0,0.0007056052563712001,71,0.028169014084507043,True,"Well we finally tried this Arizona landmark. Everything that you've heard is true. Food is mediocre, organ and room is entertaining. The building is all pipes! It resembles an Octoberfest Brewhaus, with a balcony, and long tables with seating in the round. You pay cash for your food and wait to see your number on a board. You then go pick it up and walk it upstairs. Not ideal but ok. \n\nFood was blah. Organist and atmosphere was something we haven't seen before. \n\nEvery one at the table said, so we got this place outta the way. Meaning we've all been trying to experience it. We have. Now we can move on. It's hard to say if I'll go back.",,,
yelp:test:19300,1,0,0.0007135419873520732,129,0.0,True,"We went here after the light show at Notre Dome in Old Montreal.  It is a short walk, about 7 blocks, and has some amazing open air seating in their courtyard.  When we got there we walked into the restaurant and saw that no one was in there.  We started to get a little scared but then we were directed to the courtyard which was packed.  Once seated we were greeted by a nice waitress but she seemed somewhat overwhelmed by the amount of people she was waiting on.  We ordered our drinks and about 10 minutes later.  Then it just got worse.   We didn't get any bread, our appetizer took a decent amount of time to come out and our meals were pretty late as well.  That is the service side of things, now for taste.  The appetizer we got was very good.  My wife's meal was amazing but my meal was pretty bland.  I can not fault the restaurant for this though.  I ordered a pasta that comes with andouille sausage, but I asked for them to keep that off.  So the pasta wasn't up to the full potential.  \n\nI would suggest this restaurant again and I would probably give it another try but I would definitely look at other restaurants before coming back.",,,
yelp:test:9477,1,0,0.0008138713310472667,360,0.011111111111111112,True,"Before getting started, I'd like to point out that I am currently sitting in the Palms Casino, while watching my degenerate, gambleholic, asshole-of-a-friend Pete grab his ankles, as the craps table continues to sodomize his life savings. The Palms Casino may as well be a priest, and with each roll of the dice, my man Pete is looking more and more like an alter boy. An alter boy with an ugly hat. As I look at this hat, I noticed a consistent theme. This hat of his will soon be joined by his pockets, as they both prevent the world from seeing what lies beneath -- nothing. What was once there, is now missing, and it isn't pretty. Nor was it smart. With just seven strands of hair, Pete has a face incapable of pulling off the 7-Strand comb-over. So money, combined with the freedom offered in Vegas to dive head-first into a hooker, was Pete's only hope to hump. Don't get me wrong, P never planned on returning to Phoenix with any money, which was fine, because that meant he wasn't bringing back his virginity either. Well, unless you count being molested by this casino. \n\nLet me start over. When I began writing this review, I was writing it for the Palms Place resort. I was only using my 6am-and-still-in-the-casino story to explain my exhaustion, and use it as a warning before transitioning into my review of our actual suite. However, as I continued to ramble, I realized that this has enough gems to be a review of its own. So let's jump back in. \n\nWith dick and pockets both dry, P refused to walk away from the action. But unlike his hair, my boredom started to grow, and soon left me balls deep in a conversation with some random Israeli gentleman who started our conversation by asking me if I gamble. It must have been the way I said, \""""Nope, never. Not at all,\"""" that convinced him I was interested in spending the next 30-minutes listening to him break down his formula for an 80% winning-percentage in roulette. \n\nLike all roulette conversations, this one also was followed up by literally dozens of questions on everything from Foreign Policy to soccer. I was pumped. Luckily, I was saved by irony. About midway through my optimistic response to the problem with America's public education system, I was interrupted by quite possibly the drunkest bitch I have ever seen. Clearly lacking intelligence, and a functioning metabolism, I couldn't deny her originality. Instead of some corny and cliche pickup line, this barefoot bitch thought outside of the box, and just spilled her drink on me. Luckily, it was about 7am, so of course she was double-fisting, enabling my shirt to get shit-faced. Before she could say a word, I stood, shook my man's hand, and announced that I had to go because I think my shirt had too much to drink and it needed to sober up. I think I confused her. Which made sense, because I don't even think she knew that she was carrying two drinks, let alone spilling them. I like to think that she stuck around and finished answering my new Israeli friend's question on education, which eventually led to her sitting on his trapper keeper (if you know what I'm saying), but who knows. Love is blind. As for me, I walked about twenty yards back to the table, just in time to see my buddy P go broke. It was perfect.",,,
yelp:test:5549,1,0,0.0008573135128244758,85,0.011764705882352941,True,"i wasn't in an objective frame of mind, given that i was a visitor from another state and was willing to try just about anything local. that said, this place left a smile on my face.\n\nmaybe it was the 1950s-era big neon sign out front. maybe it was the fiberglass horse on the roof. maybe it was the kitchy old-school cowboy-themed decor inside. maybe it was the fact that our waitress wore a holster and 6-shooter. or maybe it was the sawdust all over the floor.\n\nside note: sawdust? really? WHY? aren't they concerned about people slipping and hurting themselves?\n\nwe ordered breakfast and it was good. it's hard to screw up eggs, hash browns, and bacon, and they didn't. yum.\n\ni'm glad we didn't go to IHOP.",,,
yelp:test:5431,1,0,0.0008875067578628659,56,0.0,True,"I went here for the first time on First Fridays, yeah so what.  I promise that I won't hang out here all the time and ruin it for all you true Bikini lovers.   My mini pitcher was $3.50 and then 5 minutes later a chick walked up and got charged $6.00 for two mini pitchers, hmmm, male discrimination or they can't do simple math?  I'll only go back when it's 110 outside and want to put a buzz on early in the afternoon.",,,
yelp:test:4419,1,0,0.0014560234267264605,258,0.01937984496124031,True,"I reeeeeeally needed new tires. Despite being fully aware of this, I took a 50-mile bumpy-ass dirt road into the middle of Death Valley to a remote hot springs. There was no cell service, and I carried no spare -- what can I say, I like to live on the edge :)\n\nSure enough, I hadn't been back in town more than a few days when I blew out a tire. Thank dog it didn't happen in the middle of Death Valley! I went over to the Big O on Jones & Desert Inn, where I've been going for years...but unfortunately the place was closed, because the cool-ass man who ran it had passed away :(\n\nSo I went to another Big O, which shall remain nameless...and after upselling me on needless services (transmission fluid, power steering fluid and brake fluid flushes), the guy had the chutzpah to call me up the next day and ask me out on a date!!\n\nNow I can't fault the guy for asking me out -- after all, my usual m.o. when going in for automotive work is to wear skimpy clothes in order to wangle the best deal from the grease monkeys. But to rip me off and THEN have the balls to ask me out?! Inconceivable!\n\nI know they ripped me off, because my regular oil-change guy later told me he'd just changed my power steering fluid a few months prior...so it DEFINITELY did not need flushing. Lesson learned: check records before agreeing to services!\n\nAnyhoo, now I decided to get a full set of new tires, just in case. But I sure as hell wasn't going back to Big O! Someone recommended Discount Tire, so I went and checked it out.\n\nThe staff was courteous, the waiting room was airy, clean, and stocked with lots of magazines, and one of the grease monkeys offered me a bottle of water while I waited. The total cost for all the tires only came to $340, and I was in and out within 30 minutes.\n\nThis all just happened today, so I'm still waiting to see if these insanely cheap tires blow up prematurely. I'm also waiting to see if anyone calls to ask me out! \n\nBarring those eventualities...this place rocks!",,,
