example_id,true_label,predicted_label,positive_probability,original_token_length,oov_rate,has_negation,text,review_group,error_type,testable_fix,student_reviewed,checkpoint_sha256
yelp:test:29330,0,1,0.9999929666519164,23,0.0,False,"Wow love the place and everything is very clean and new!\n\nGreat place to come and relax worth a try!\n\nCheers,\n\nEric Van Nguyen\nVisited April 2012",confident_false_positive,,,False,fc9442519f52db62c292e380fed6285a14e51f2711e7540618314d7675720e08
yelp:test:25701,0,1,0.9999197721481324,46,0.0,True,"I had both a red tinga as well as a chili verde gordita. I also enjoyed a large cup of the best Horchata in Las Vegas. Fresh and warm, the gorditas were filling and good.....but not great. Good for a quick stop, but there are much better options when looking for a full flavored, spicy, authentic gordita. The service was very friendly and the restaurant spotlessly clean, almost antiseptic.",confident_false_positive,,,False,fc9442519f52db62c292e380fed6285a14e51f2711e7540618314d7675720e08
yelp:test:20681,0,1,0.9998695850372314,2,0.0,False,Large variety,confident_false_positive,,,False,fc9442519f52db62c292e380fed6285a14e51f2711e7540618314d7675720e08
yelp:test:23815,0,1,0.9998685121536256,129,0.0155038759689922,True,"This is the neighborhood Foodland that has the bare necessities needed to sustain a pantry or for when the next snowstorm of the century is a day away and you only have minutes to get TP, bread and milk. \n\nThe bakery here is tops, small selection, but really well made specialities. Huge brownies, iced and moist. They are easily 5 inch squares,  topped with things like Oreo cookies, nuts, sprinkles, and other yummy delights. The best thing I found is the individual pineapple upside-down cakes. Perfect for one person, these are just like the big ones, same buttery cake, same crunchy edges from the brown sugar melting as it bakes, and that almost candied pineapple that has bece one of my favorite desserts of all time.\n\nTry the foccacia dripping with evoo, fresh basil and tomatoes and mozzarella cheese, you'll never buy pizzeria pizza ever again. Take a few home and pop them in the oven and enjoy. \n\nI come here when I need the staples of the pantry like eggs, milk, even a pound of ground beef. The deli isn't the greatest but it will do in a pinch. Good rotisserie chickens too.",confident_false_positive,,,False,fc9442519f52db62c292e380fed6285a14e51f2711e7540618314d7675720e08
yelp:test:12480,0,1,0.999866247177124,13,0.0,False,"my husband had an omelette that was good. i had a blt, a little on the small side for $10, but bacon was great. Our server was awesome!",confident_false_positive,,,False,fc9442519f52db62c292e380fed6285a14e51f2711e7540618314d7675720e08
yelp:test:30958,1,0,5.0548071158118546e-05,235,0.0,True,"Look, we all know Cox sucks. In fact they are a terrible business and their practices are laughable. However they are a necessary evil if you want Internet that isn't garbage that can handle streaming/gaming. The way they handle issues over the phone is worse than Comcast, and for all my east coast brothers/sisters you know what a serious accusation that is. It all started with shitty TV Service. My household went through 4 dvr boxes. 4. That all broke. All of them. 100's of hours of TV. Lost. Every. Single. Time. Their solution? Downgrade from contour. That's their genius solution. So my solution? Upgrade to Dish for TV. PROBLEM SOLVED. However they charged us $200 to disconnect claiming we were on a contract. Nope, disputed that. However to dispute it you have to literally mail a letter to corporate. In the mean time, they cut off my Internet service for pay bills AND THEN DOUBLE CHARGED ME FOR THE INTERNET. WHAT? EXCUSE ME? How does that even make sense? So, an angry phone call and 2 hours on hold, I get the Internet back on because I work from home and to refund the double charged service they have to send a check, via the mail, to a local store. Okay, cool. A week later, let's drive from San tan valley to Gilbert. Once we arrive , turns out the check wasn't mailed. In fact the person helping us via the phone wrote that checks can't be sent to the store, and put a future apology in the notes to us. Thanks Cox cock. So, if you made it this far, why do I give this store 5 stars? The Manager, Mario. That's why. The savior of my people. Stepped in. Saw the crap we went through and listened to my tale. With about 5 minutes of effort , he credited our account for $300. $200 for the bs fee , $50 for the double charge and another $50 just because he was sorry. That's customer service. That's being a great human. He's the man, and my opinion of Cox has changed. ALWAYS GO TO A COX STORE. ALWAYS! They know their stuff and actually care. They are not the call center idiots. They are true experts and will always get the job done. Thank you Mario at the Gilbert Cox Store. Thank you so much",confident_false_negative,,,False,fc9442519f52db62c292e380fed6285a14e51f2711e7540618314d7675720e08
yelp:test:22807,1,0,5.738289110013284e-05,60,0.0,True,"EDIT: They really did change the service up since I last posted this.\n\nHorrible service.\n\nUsed to be my favorite pizza in the city (at a reasonable price), but I'm rethinking that. We just had an altercation with a server who refused to split a check when we were paying with cash. He then proceeded to disrespect the party at the table, telling us to 'not give him attitude about it.'\n\nSorry Bella Notte, but we're not children. I don't care if you're working hard - it doesn't give you any excuse to disrespect your paying customers like that.",confident_false_negative,,,False,fc9442519f52db62c292e380fed6285a14e51f2711e7540618314d7675720e08
yelp:test:30793,1,0,7.339839794440195e-05,64,0.0,True,"This place is so much better since they changed owners.\n\nMy wife and I went when it was the old owners, it was terrible.  We waited forever and the food never came before we walked out.  People were served before us that walked in after and my wife actually got her soup before me and I sat and waited while they \""""made more\"""".\n\nIt was horrible.\n\nNow its much better.  The staff are very friendly, they treat their customers very well and I have nothing but positive things to now say about this place.  Its much better with the new owners.",confident_false_negative,,,False,fc9442519f52db62c292e380fed6285a14e51f2711e7540618314d7675720e08
yelp:test:32713,1,0,0.0001007971077342,42,0.0,True,"Food:  Exceptionally nice, a little pricey, but good.\n\nShopping:  I was a little underwhelmed by the grocery section - some of the things were grossly overpriced, and with the availability of so many foods on the internet there's no reason to be charging that much for marinara sauce!  I was a little disappointed that there weren't more local organic/farm foods (it was September, so there should have been more)",confident_false_negative,,,False,fc9442519f52db62c292e380fed6285a14e51f2711e7540618314d7675720e08
yelp:test:30354,1,0,0.0002416446222923,66,0.0,False,"Maize is good, but the hype has gotten out of hand. \nTheir burritos are average - I mean, they are above-average for this area, but in general they are just okay. Kind of loosely wrapped, which is disappointing.\nChips and salsa are good.\nTacos seem fairly standard.\nPerhaps the issue is that there is so much mediocre Mexican food around. I heard rave reviews about here, and have tried them a couple of times, but they are just good in my opinion. So, this is a local 4 (I'd rather have Huaraches) and if I'm judging it against legit Mexican in other areas of the country, it's probably a 3.",confident_false_negative,,,False,fc9442519f52db62c292e380fed6285a14e51f2711e7540618314d7675720e08
yelp:test:19699,1,0,0.4999656081199646,36,0.0,True,They are not messing around. We got a baguette and croissant (only $1 each on Saturdays and Sundays!) followed by a pastry that they said was basically made with random fruit leftover from other pastries. It turned out to be the best damn thing I've eaten in Montreal--maybe one of the best thing I've eaten ever. More please!,near_threshold,,,False,fc9442519f52db62c292e380fed6285a14e51f2711e7540618314d7675720e08
yelp:test:30351,1,0,0.4997490048408508,96,0.0,True,"I am from Santa Barbara and had eaten several times at the original one.  Having been disappointed by some of the other hamburger chains that have come in here in the last few years with much fanfare from people that came from the same towns I was worried that a hamburger from my own home town might be a let down from either a taste or value stand point.  I need not have worried.  I took a friend with me and we each had a mushroom swiss  burger and I had onion rings and she had sweet potato fries.  We both liked the food.  2 burgers, 2 drinks, fries and onion rings were under $19 incl tax.  And being a lovely day we found a spot on the patio and camped out for over an hour.  The staff was friendly and close to being too attentive.  Parking sucks.  Even after the original opening hype they are still packed for a Sunday lunch so they must be doing something right.  I know I will return.",near_threshold,,,False,fc9442519f52db62c292e380fed6285a14e51f2711e7540618314d7675720e08
yelp:test:23036,1,0,0.498964786529541,105,0.0,True,"The main reason we seek out Hot Dog on a Stick is for...the lemonade!  It's perfectly sweetened and refreshing on a hot day.  While we tend to go for the regular lemonade, we have also tried the cherry lemonade.  And you know what?  It's all good!  I wish Hot Dog on a Stick was near where I live!  When we head to the Southwest, a trip to Hot Dog on a Stick is a must-do.  \n\nYes, we've tried the hotdogs and liked them.  However, while good, we don't long for them when we're home.  The lemonade is another story!\n\nThe Hot Dog on a Stick in the Fiesta Mall has never disappointed us.  The staff is friendly and efficient.  One time I asked for a small empty cup to pour a little lemonade in it in order to take some medication that has to be added to a small amount of liquid.  The staff gave me a cup without giving me a hard time or charging me any money for it.\n\nIn conclusion, if you haven't tried the lemonade, I highly recommend that you do so!",near_threshold,,,False,fc9442519f52db62c292e380fed6285a14e51f2711e7540618314d7675720e08
yelp:test:7616,0,1,0.5010954141616821,64,0.0,True,"Maybe I went on the wrong weekend or something, but this place was a ghost town. No one was there!  Paul and Chris at the front desk were super friendly, I LOVED them!  The rooms were not bad either.  It seems to stop there though. The webpage was misleading.  It was off of the strip in a sketchy looking area (in comparison to most vegas hotels)  The pool was noisy due to the waterfall and being near the freeway which was somewhat distracting.  I'm not writing this place off completely, but there's a good chance I won't go back or if I do I'll have to try it during the summer season.",near_threshold,,,False,fc9442519f52db62c292e380fed6285a14e51f2711e7540618314d7675720e08
yelp:test:17598,0,1,0.5011968016624451,30,0.0333333333333333,True,The bull ride is fun. Very good staff -- they had great energy and really got people involved.\n\nThe food is wretched -- worthy of a bio hazard warning.  If it were not for the great staff and fun atmospere this place would deserve 0 stars.,near_threshold,,,False,fc9442519f52db62c292e380fed6285a14e51f2711e7540618314d7675720e08
yelp:test:9911,1,0,0.0252344887703657,563,0.0159857904085257,True,"Gather around little Yelpers, let me tell you about my stay at ye ol' Treasure Island. No, but seriously get ready to hear it.\n\nWe had the penthouse suite here. Our room was beautifully decorated and looked real crisp. Being an all guys birthday weeknd, we wanted to go all out. As soon as entering the room, we immediately fired up the jacuzzi. And 10 minutes later there was water all over the floor due to my fellow comrade who thinks it's not a problem to cannonball indoors. The staff handled the situation pretty well actually. They hand soaked and air dryed the room while we were out and the room looked handy dandy when we returned that night.\n\nBeing a fairly rowdy group, being loud was a given. Things got a little wierd for us two days in. Our room was the first room on the hall we were in, and they actually had a person standing by our room 24/7. I asked why was this necessary, but the staff all told me they were doing what they were told by the relief and higher class. I'm conviced they were keeping an eye on us.\nThe pool area was exceptional. I mean, it's not a Wet Republic or Cancun, but it's a decent place to lounge around and sun bathe. The music selection was a hit or miss. Some days it was hopping and popping with an actual DJ, and some days it was like they were playing a radio. The drinks are actually really overpriced, but it is Vegas, so you can't really blame them. Anywho, the crowd here was pretty laid back and it was pretty obvious that everyone was hungover. We had brought a handle of Jameson down with us and had our own personal bar going. This goes against the rules, and the staff gave us a warning, but didn't confiscate the bottle until the second warning, when the bottle was already finished. We had forgotten our swimming wear back in the room, and made the executive decision to jump into the pool in our boxers. We weren't escorted out of the pool area, so i'm assuming this is okay if anyone considers this in the future.\n\nThe tables here are cursed, and do not pay out. Go somewhere else. No, but seriously, I had the worst luck on the tables. The cocktail waitresses returned fairly quickly with the water down drinks, and do not return to you if you don't tip them well. \n\nThe restauraunt selection here isn't the best. They have one place here open 24 hours that serves food that any late night diner would. We ate here a couple early mornings, and the food is as good as any drunk person looking for a quick bite would expect. The staff at the said restaurant were a hit and miss. Some were cooperative while others gave us the evil eye. My buddy and I came here one morning after a night of painting the town red, and we actually fell asleep after we ordered our food. After miserably failing to wake us up, the staff stored our food away until we woke up. No, they didn't remake our food, but instead saved it for us. I would've said something to them about giving us food that was not fresh, but during my sleep, I actually lost my phone and one of the employees here found my phone on the floor and returned it to me once I woke up. A truly sincere gesture when in Sin City. The food wasn't that good by the way.\n\nI felt bad for the maid that was in charge of cleaning our room. The pad looked like a tornado flew through it. After the second day I started tipping any houskeeper that passed by our room and showering them with compliments. It was the least I could do. Our room was always clean after we returned from the daily escapades, with the linen being fully stocked and our bathroom presentably clean. Nothing was stolen or taken either. \n\nWe ordered room service to go along with our pregame on one of the nights when we were getting ready. Aside from the aggressive lady that yelled at us because we took to long to order, the food was extroadinary. We ordered a bunch of finger food that cost us an arm and leg, but everyone was neatly wrapped and to my surprise, well prepared and cooked. \n\nLast but not least, the people in charge of customer service. We had initially asked for a room with a view of the strip, but we also really wanted a smoking room to hot box, but to our dismay, the only smoking room they had, did not have a strip view. So we ended up settling for the view of the not so infamous Trump Tower. My buddy who had initially booked the room, called customer service intoxicated, mind you. He complained to them about the hotel view we had and gave them a bogus story about how he was going to propose tomorrow night and needed a strip view. After speaking to many people he finally had a word with the manager who actually gave us a brand new penthouse with a strip view for our last day there. These people really made our trip memorable and cooperated with all our needs. \n\nI'm giving this place 4 stars because their are better places to stay at on the strip, but if you're not really trying to go all, this is not a bad hotel. It's also right next to the Wynn and Palazzo.",long_review_slice,,,False,fc9442519f52db62c292e380fed6285a14e51f2711e7540618314d7675720e08
